A,B,A_Score,B_Score,Diff,Tag
"('A', <1, 2>)","('B', <1, 2>)",3,0,"[2, 3, 2]","[1, 0, 0]"
"('A', <2, 3>)","('B', <2, 3>)",2,0,"[6, 9]","[0, 0]"
"('A', <1, 3>)","('B', <1, 2>)",2,1,"[-2, 2, 2]","[1, 0, 1]"
"('A', <2, 4>)","('B', <2, 4>)",1,1,"[6, -8]","[0, 0]"
"('A', <1, 4>)","('B', <2, 4>)",2,1,"[-3, 4, 2]","[0, 0, 0]"
"('A', <2, 5>)","('B', <3, 5>)",2,0,"[9, 5]","[0, 0]"
"('A', <1, 5>)","('B', <1, 5>)",2,1,"[-3, 7, 5]","[0, 0, 0]"
"('A', <3, 4>)","('B', <4, 5>)",1,0,[7],[0]
"('A', <4, 5>)","('B', <3, 5>)",1,1,"[10, -7]","[0, 0]"
"('A', <3, 4>)","('B', <3, 4>)",1,1,"[-2, 2]","[0, 1]"
"('A', <1, 3>)","('B', <3, 5>)",1,0,[11],[0]
