A,B,Score_A,Score_B,Difference,Winner
"('A', <1, 2>)","('B', <1, 2>)",23,21,2,A
"('A', <1, 2>)","('B', <1, 2>)",21,18,3,A
"('A', <1, 2>)","('B', <1, 2>)",21,19,2,A
"('A', <2, 3>)","('B', <2, 3>)",21,15,6,A
"('A', <2, 3>)","('B', <2, 3>)",21,12,9,A
"('A', <1, 3>)","('B', <1, 2>)",20,22,-2,B
"('A', <1, 3>)","('B', <1, 2>)",21,19,2,A
"('A', <1, 3>)","('B', <1, 2>)",22,20,2,A
"('A', <2, 4>)","('B', <2, 4>)",21,15,6,A
"('A', <2, 4>)","('B', <2, 4>)",13,21,-8,B
"('A', <1, 4>)","('B', <2, 4>)",18,21,-3,B
"('A', <1, 4>)","('B', <2, 4>)",21,17,4,A
"('A', <1, 4>)","('B', <2, 4>)",21,19,2,A
"('A', <2, 5>)","('B', <3, 5>)",21,12,9,A
"('A', <2, 5>)","('B', <3, 5>)",21,16,5,A
"('A', <1, 5>)","('B', <1, 5>)",18,21,-3,B
"('A', <1, 5>)","('B', <1, 5>)",21,14,7,A
"('A', <1, 5>)","('B', <1, 5>)",21,16,5,A
"('A', <3, 4>)","('B', <4, 5>)",21,14,7,A
"('A', <4, 5>)","('B', <3, 5>)",21,11,10,A
"('A', <4, 5>)","('B', <3, 5>)",14,21,-7,B
"('A', <3, 4>)","('B', <3, 4>)",19,21,-2,B
"('A', <3, 4>)","('B', <3, 4>)",22,20,2,A
"('A', <1, 3>)","('B', <3, 5>)",21,10,11,A
